date,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
5/5/2018,30,0,1,30,,0.567,0.175,84.039,0.263,0.19,1.77E-06,4,0.675,10,315771,-9.147,0.658,0
5/5/2018,4,39,45,50,-11,0.795,0.0717,79.028,0.0504,0.0417,0.000113,4,0.801,1,163253,-5.115,0.754,0
5/5/2018,53,0,1,53,,0.648,0.182,94.336,0.445,0.147,0,4,0.678,2,190177,-5.892,0.635,1
5/5/2018,12,37,28,49,-12,0.721,0.173,148.066,0.122,0.298,0,4,0.656,5,212120,-5.665,0.468,0
5/5/2018,47,0,1,47,,0.472,0.119,82.36,0.477,0.626,0,4,0.548,8,197822,-8.343,0.138,1
5/5/2018,65,65,12,85,-20,0.637,0.106,88.865,0.0401,0.265,0,4,0.488,10,208720,-7.63,0.23,1
5/5/2018,58,83,14,91,-8,0.586,0.0734,193.335,0.0521,0.028,0.645,4,0.419,2,231902,-13.087,0.108,1
5/5/2018,50,75,3,99,-24,0.549,0.057,121.954,0.167,0.17,0,4,0.837,0,188524,-5.722,0.209,1
5/5/2018,4,34,52,45,-11,0.822,0.147,167.997,0.0438,0.00671,0.134,4,0.605,0,187147,-4.833,0.288,1
5/5/2018,4,0,54,34,,0.784,0.171,124.102,0.0524,0.00346,0.00187,4,0.518,2,247427,-5.659,0.588,1
5/5/2018,41,0,1,41,,0.626,0.0728,75.032,0.397,0.0607,0,4,0.72,8,286730,-9.351,0.182,1
4/28/2018,5,48,33,50,-2,0.751,0.0893,118.384,0.0296,0.0604,0,4,0.675,0,181279,-3.539,0.612,1
4/28/2018,43,43,2,68,-25,0.814,0.158,155.938,0.303,0.154,1.67E-06,4,0.884,7,181624,-5.333,0.907,1
4/28/2018,50,68,8,91,-23,0.711,0.105,90.076,0.288,0.175,0,4,0.764,4,112667,-3.818,0.774,0
4/28/2018,82,97,4,97,0,0.683,0.156,112.856,0.177,0.13,0,4,0.684,6,231253,-7.366,0.406,1
4/28/2018,44,89,20,98,-9,0.652,0.109,156.07,0.0323,0.325,0,4,0.517,7,238954,-6.153,0.333,1
4/28/2018,38,38,2,77,-39,0.57,0.105,93.015,0.246,0.0977,0,4,0.806,1,231453,-6.927,0.454,1
4/28/2018,99,0,1,99,,0.584,0.0658,161.9,0.176,0.0524,0,4,0.728,10,166852,-7.255,0.365,0
4/28/2018,61,84,11,100,-16,0.518,0.146,132.527,0.188,0.118,0,4,0.537,1,236032,-5.987,0.427,1
4/28/2018,14,44,20,47,-3,0.731,0.308,87.908,0.0868,0.0534,0,4,0.589,2,268867,-6.343,0.191,1
4/28/2018,16,46,30,46,0,0.538,0.196,143.95,0.0382,0.0689,0,4,0.556,8,223347,-5.408,0.291,0
4/28/2018,73,0,1,73,,0.567,0.0934,168.419,0.0515,0.239,6.04E-06,4,0.46,9,185703,-5.637,0.189,1
4/28/2018,30,55,20,56,-1,0.408,0.13,85.008,0.0237,0.113,0,4,0.588,3,205453,-8.662,0.484,1
4/28/2018,58,58,2,87,-29,0.788,0.108,129.977,0.124,0.107,0.000691,4,0.947,10,229005,-6.138,0.454,0
4/28/2018,79,87,8,95,-8,0.931,0.102,111.012,0.0517,0.0285,0,4,0.599,11,180302,-3.662,0.788,1
4/28/2018,27,63,3,76,-13,0.674,0.111,122.699,0.0851,0.622,2.04E-05,4,0.562,10,220293,-6.049,0.293,0
4/21/2018,52,75,20,93,-18,0.668,0.216,80.989,0.0291,0.14,0,4,0.634,5,224627,-5.488,0.635,1
4/21/2018,45,64,20,82,-18,0.575,0.0566,78.341,0.0252,0.133,2.52E-06,4,0.607,8,180907,-7.066,0.504,1
4/21/2018,45,45,2,86,-41,0.37,0.118,116.06,0.324,0.24,0,4,0.741,8,219136,-8.437,0.13,0
4/21/2018,84,84,3,96,-12,0.657,0.0713,115.958,0.105,0.264,0.00619,4,0.863,7,235813,-7.295,0.829,1
4/21/2018,53,62,20,69,-7,0.582,0.181,82.142,0.0433,0.0241,0,4,0.536,3,236987,-5.452,0.253,0
4/21/2018,26,26,2,74,-48,0.672,0.147,91.673,0.068,0.622,0.00108,4,0.466,8,221107,-5.777,0.108,0
4/14/2018,78,88,15,97,-9,0.588,0.0906,113.617,0.0507,0.0285,2.11E-06,4,0.489,1,269600,-6.177,0.187,1
4/14/2018,47,90,20,91,-1,0.889,0.0925,96.024,0.0429,0.0328,0,4,0.726,0,173720,-3.655,0.649,1
4/14/2018,100,0,1,100,,0.313,0.117,84.953,0.0561,0.255,1.40E-05,4,0.415,1,200133,-12.945,0.0875,0
4/14/2018,61,79,18,87,-8,0.736,0.0978,143.966,0.308,0.113,0,4,0.658,9,160000,-6.097,0.804,0
4/14/2018,89,0,1,89,,0.57,0.137,136.203,0.361,0.0456,1.51E-06,4,0.589,1,151027,-9.54,0.441,1
4/14/2018,52,0,1,52,,0.595,0.145,93.78,0.0411,0.913,0.00557,4,0.391,11,170573,-7.094,0.379,0
4/14/2018,60,60,2,86,-26,0.867,0.458,167.965,0.103,0.167,0,4,0.491,6,189187,-2.313,0.602,0
4/14/2018,88,92,4,88,4,0.482,0.0903,120.959,0.0502,0.192,0,4,0.769,10,218744,-7.205,0.487,1
4/14/2018,51,91,20,93,-2,0.437,0.0842,83.985,0.0575,0.593,0,4,0.725,6,184080,-9.602,0.759,1
4/7/2018,22,70,5,85,-15,0.589,0.113,139.971,0.202,0.0635,0,4,0.829,1,188600,-7.055,0.233,1
4/7/2018,64,76,20,77,-1,0.419,0.105,119.958,0.165,0.416,0,4,0.823,10,187453,-10.358,0.277,0
4/7/2018,73,89,5,93,-4,0.549,0.082,144.005,0.098,0.000831,0.000243,4,0.938,1,160038,-8.368,0.412,1
4/7/2018,12,63,20,56,7,0.775,0.129,157.036,0.172,0.0553,0,4,0.66,2,157643,-4.926,0.635,1
4/7/2018,64,0,1,64,,0.695,0.156,105.038,0.372,0.296,0,4,0.708,10,201200,-6.89,0.444,1
4/7/2018,6,43,22,45,-2,0.832,0.259,139.011,0.103,0.0681,0.789,4,0.698,2,190747,-4.497,0.73,1
4/7/2018,36,88,9,89,-1,0.588,0.139,124.987,0.136,0.0146,0,4,0.936,7,255379,-6.948,0.238,0
4/7/2018,46,0,17,96,,0.699,0.174,108.031,0.348,0.00582,0,5,0.596,1,157505,-8.709,0.435,1
3/31/2018,100,0,1,100,,0.755,0.368,154.801,0.0455,0.00836,0,4,0.471,11,224027,-6.612,0.512,0
